"sample","site","lat","long","Assigned_Region"
"NSW1168507","Bulburin",-24.61385,151.5369333,"Port Curtis"
"NSW1168508","Bulburin",-24.61385,151.5369333,"Port Curtis"
"NSW1168509","Bulburin",-24.61385,151.5369333,"Port Curtis"
"NSW1168504","Bulburin",-24.61385,151.5369333,"Port Curtis"
"NSW1168502","Bulburin",-24.61385,151.5369333,"Port Curtis"
"NSW1088532","Bulburin 1",-24.5370582025651,151.47187287002,"Port Curtis"
"NSW1088494","Bulburin 1",-24.5365248620739,151.473604906491,"Port Curtis"
"NSW1088512","Bulburin 1",-24.5363567630058,151.476381914831,"Port Curtis"
"NSW1088529","Bulburin 1",-24.5361927710702,151.477791667126,"Port Curtis"
"NSW1088457","Bulburin 1",-24.536102414154,151.477494863934,"Port Curtis"
"NSW1088452","Bulburin 1",-24.5337364543383,151.469191499195,"Port Curtis"
"NSW1088523","Bulburin 1",-24.5249486575132,151.485161455489,"Port Curtis"
"NSW1199419","Cooper Park",-33.8870349,151.257817,"Central Coast"
"NSW1197688","BGS Ex situ Eye Hosptial",-33.868013,151.213263,"Central Coast"
"NSW1199398","BGS Ex situ BurringbarRFNursery",-33.8658545,151.2155028,"Central Coast"
"NSW1199401","BGS Ex situ unknown origin",-33.8655451,151.2146478,"Central Coast"
"NSW1199404","BGS Ex situ BurringbarNursery origin from DalbyQLD ",-33.8648434,151.2158381,"Central Coast"
"NSW1199406","BGS Ex situ unknown origin",-33.8641103,151.2137529,"Central Coast"
"NSW1199420","ABG living Caley Dr",-34.07137,150.760331,"Central Coast"
"NSW1199413","ABG living Caley Dr",-34.07137,150.760331,"Central Coast"
"NSW840025","Antarctic beech picnic area",-28.373,153.096,"North Coast"
"NSW1199418","Cooper Park",-33.8862504,151.2512943,"Central Coast"
"NSW1199416","Cooper Park",-33.8858184,151.2493572,"Central Coast"
"NSW1175794","Darvall Res",-33.797421,151.083739,"Central Coast"
"NSW1075938","Minnamurra",-34.6345312,150.7273171,"Central Coast"
"NSW1167492","Sea Acres NP",-31.462915,152.932086,"North Coast"
"NSW1162181","Sea Acres NP",-31.460649,152.929748,"North Coast"
"NSW1174401","Strickland SF",-33.376869,151.3274303,"Central Coast"
"NSW1187500","Todd park Council Res",-33.9892334,151.1129292,"Central Coast"
"NSW1187499","Todd park Council Res",-33.9889429,151.1127328,"Central Coast"
"NSW1187502","Todd park Council Res",-33.9872003,151.1121737,"Central Coast"
"NSW1187057","Wingham Brush NR",-31.871221,152.3779941,"North Coast"
"NSW1147208","Carrington Rd Atherton",-17.3009414648394,145.457289650263,"Cook"
"NSW1147423","Carrington Rd Atherton",-17.2915945997876,145.449321663272,"Cook"
"NSW1147408","Carrington Rd Atherton",-17.2889053486959,145.445173280999,"Cook"
"NSW1147418","Carrington Rd Atherton",-17.2874329683212,145.444229714931,"Cook"
"NSW1147083","Carrington Rd Atherton",-17.2869652086567,145.443855366884,"Cook"
"NSW1147011","Clohesy River",-16.937065,145.611613,"Cook"
"NSW1147036","Clohesy River",-16.935197,145.613142,"Cook"
"NSW1147026","Clohesy River",-16.935194,145.613881,"Cook"
"NSW1147056","Clohesy River",-16.922733,145.602994,"Cook"
"NSW1147357","Downfall Ck Danbulla Rd",-17.14636,145.58691,"Cook"
"NSW1147417","Downfall Ck Danbulla Rd",-17.14634,145.58642,"Cook"
"NSW1147042","Downfall Ck Danbulla Rd",-17.14613,145.58662,"Cook"
"NSW1147362","Downfall Ck Danbulla Rd",-17.14599,145.58678,"Cook"
"NSW1147372","Downfall Ck Danbulla Rd",-17.1458,145.5867,"Cook"
"NSW1147412","Downfall Ck Danbulla Rd",-17.14568,145.5861,"Cook"
"NSW1147277","Downfall Ck Danbulla Rd",-17.14541,145.58627,"Cook"
"NSW1147152","Herberton Range",-17.268976,145.425241,"Cook"
"NSW1147135","Herberton Range",-17.264939,145.425161,"Cook"
"NSW1147160","Herberton Range",-17.260636,145.425377,"Cook"
"NSW1147150","Herberton Range",-17.260496,145.42541,"Cook"
"NSW1147105","Herberton Range",-17.259958,145.425332,"Cook"
"NSW1157238","Hunter Ck Julatten",-16.625659,145.312884,"Cook"
"NSW1157122","Hunter Ck Julatten",-16.623306,145.310281,"Cook"
"NSW1157113","Hunter Ck Julatten",-16.623057,145.310281,"Cook"
"NSW1157240","Hunter Ck Julatten",-16.623045,145.310318,"Cook"
"NSW1157241","Hunter Ck Julatten",-16.6225,145.310212,"Cook"
"NSW1157233","Hunter Ck Julatten",-16.620943,145.306652,"Cook"
"NSW1157004","Kirrama East",-18.165724,145.700275,"North Kennedy"
"NSW1157003","Kirrama East",-18.165723,145.700271,"North Kennedy"
"NSW1157012","Kirrama East",-18.16028,145.693546,"North Kennedy"
"NSW1147013","Lake Eacham",-17.288583,145.627046,"Cook"
"NSW1147043","Lake Eacham",-17.287623,145.623563,"Cook"
