sample,site,lat,long
NSW1168507,Bulburin,-24.61385,151.5369333
NSW1168508,Bulburin,-24.61385,151.5369333
NSW1168509,Bulburin,-24.61385,151.5369333
NSW1168504,Bulburin,-24.61385,151.5369333
NSW1168502,Bulburin,-24.61385,151.5369333
NSW1088532,Bulburin 1,-24.5370582,151.4718729
NSW1088494,Bulburin 1,-24.53652486,151.4736049
NSW1088512,Bulburin 1,-24.53635676,151.4763819
NSW1088529,Bulburin 1,-24.53619277,151.4777917
NSW1088457,Bulburin 1,-24.53610241,151.4774949
NSW1088452,Bulburin 1,-24.53373645,151.4691915
NSW1088523,Bulburin 1,-24.52494866,151.4851615
NSW1199419,Cooper Park,-33.8870349,151.257817
NSW1197688,BGS Ex situ Eye Hosptial,-33.868013,151.213263
NSW1199398,BGS Ex situ BurringbarRFNursery,-33.8658545,151.2155028
NSW1199401,BGS Ex situ unknown origin,-33.8655451,151.2146478
NSW1199404,BGS Ex situ BurringbarNursery origin from DalbyQLD ,-33.8648434,151.2158381
NSW1199406,BGS Ex situ unknown origin,-33.8641103,151.2137529
NSW1199420,ABG living Caley Dr,-34.07137,150.760331
NSW1199413,ABG living Caley Dr,-34.07137,150.760331
NSW840025,Antarctic beech picnic area,-28.373,153.096
NSW1199418,Cooper Park,-33.8862504,151.2512943
NSW1199416,Cooper Park,-33.8858184,151.2493572
NSW1175794,Darvall Res,-33.797421,151.083739
NSW1075938,Minnamurra,-34.6345312,150.7273171
NSW1167492,Sea Acres NP,-31.462915,152.932086
NSW1162181,Sea Acres NP,-31.460649,152.929748
NSW1174401,Strickland SF,-33.376869,151.3274303
NSW1187500,Todd park Council Res,-33.9892334,151.1129292
NSW1187499,Todd park Council Res,-33.9889429,151.1127328
NSW1187502,Todd park Council Res,-33.9872003,151.1121737
NSW1187057,Wingham Brush NR,-31.871221,152.3779941
NSW1147208,Carrington Rd Atherton,-17.30094146,145.4572897
NSW1147423,Carrington Rd Atherton,-17.2915946,145.4493217
NSW1147408,Carrington Rd Atherton,-17.28890535,145.4451733
NSW1147418,Carrington Rd Atherton,-17.28743297,145.4442297
NSW1147083,Carrington Rd Atherton,-17.28696521,145.4438554
NSW1147011,Clohesy River,-16.937065,145.611613
NSW1147036,Clohesy River,-16.935197,145.613142
NSW1147026,Clohesy River,-16.935194,145.613881
NSW1147056,Clohesy River,-16.922733,145.602994
NSW1147357,Downfall Ck Danbulla Rd,-17.14636,145.58691
NSW1147417,Downfall Ck Danbulla Rd,-17.14634,145.58642
NSW1147042,Downfall Ck Danbulla Rd,-17.14613,145.58662
NSW1147362,Downfall Ck Danbulla Rd,-17.14599,145.58678
NSW1147372,Downfall Ck Danbulla Rd,-17.1458,145.5867
NSW1147412,Downfall Ck Danbulla Rd,-17.14568,145.5861
NSW1147277,Downfall Ck Danbulla Rd,-17.14541,145.58627
NSW1147152,Herberton Range,-17.268976,145.425241
NSW1147135,Herberton Range,-17.264939,145.425161
NSW1147160,Herberton Range,-17.260636,145.425377
NSW1147150,Herberton Range,-17.260496,145.42541
NSW1147105,Herberton Range,-17.259958,145.425332
NSW1157238,Hunter Ck Julatten,-16.625659,145.312884
NSW1157122,Hunter Ck Julatten,-16.623306,145.310281
NSW1157113,Hunter Ck Julatten,-16.623057,145.310281
NSW1157240,Hunter Ck Julatten,-16.623045,145.310318
NSW1157241,Hunter Ck Julatten,-16.6225,145.310212
NSW1157233,Hunter Ck Julatten,-16.620943,145.306652
NSW1157004,Kirrama East,-18.165724,145.700275
NSW1157003,Kirrama East,-18.165723,145.700271
NSW1157012,Kirrama East,-18.16028,145.693546
NSW1147013,Lake Eacham,-17.288583,145.627046
NSW1147043,Lake Eacham,-17.287623,145.623563
NSW1147033,Lake Eacham,-17.287299,145.622044
NSW1147199,Lake Eacham,-17.282739,145.628525
NSW1147229,Lake Eacham,-17.282109,145.62311
NSW1147028,Lake Eacham,-17.281605,145.625192
NSW1157171,Longlands Gap,-17.453095,145.475363
NSW1157158,Longlands Gap,-17.452775,145.474808
NSW1157179,Longlands Gap,-17.452497,145.474432
NSW1157162,Longlands Gap,-17.452108,145.474084
NSW1147241,Nitchaga Ck,-17.846134,145.542699
NSW1147220,Nitchaga Ck,-17.84579,145.545998
NSW1147240,Nitchaga Ck,-17.845575,145.543456
NSW1147196,Nitchaga Ck,-17.845545,145.544348
NSW1147181,Nitchaga Ck,-17.845523,145.543684
NSW1147176,Nitchaga Ck,-17.845509,145.544057
NSW1157000,Tully River Gorge,-17.755376,145.598015
NSW1147386,Walton Waldo,-16.355302,145.352449
NSW1157036,Windsor Tableland Dry,-16.295035,145.087374
NSW1157035,Windsor Tableland Dry,-16.294935,145.087365
NSW1157236,Windsor Tableland Dry,-16.294902,145.087681
NSW1157228,Windsor Tableland Dry,-16.294552,145.086331
NSW1157235,Windsor Tableland Dry,-16.293623,145.088851
NSW1157042,Windsor Tableland Dry,-16.288402,145.091341
NSW1157089,Witts Lookout Paluma,-19.007269,146.212585
NSW1157091,Witts Lookout Paluma,-19.007267,146.212528
NSW1147399,Wongabel SF,-17.3326861,145.5035497
NSW1147369,Wongabel SF,-17.33264456,145.5084065
NSW1147343,Wongabel SF,-17.33090399,145.5024975
NSW1147348,Wongabel SF,-17.32946098,145.5061167
NSW1027013,Childowla Rd Burrinjuck NR,-34.954157,148.543647
NSW1033112,Jenolan Karst Conservation,-33.817584,150.023905
NSW1021611,Waa Gorge Tk Mt Kaputar NP,-30.061478,150.097304
NSW1026808,Wallara Rd Goulburn River NP,-32.260796,150.096297
NSW1072382,Acacia Plateau Kooreelah,-28.3739267,152.3772356
NSW1072406,Acacia Plateau Kooreelah,-28.3739267,152.3772356
NSW1072468,Acacia Plateau Kooreelah,-28.3739267,152.3772356
NSW1072622,Acacia Plateau Kooreelah,-28.3739267,152.3772356
NSW1072712,Acacia Plateau Kooreelah,-28.3739267,152.3772356
NSW1072185,Acacia Plateau Kooreelah,-28.3656614,152.3937422
NSW1089114,Airdrop Rd,-28.392932,153.0447535
